title,genre,rating,lead,director,year,medium,duration,theater
RoboCop,Sci-Fi,PG-13,Joel Kinnaman,Jos Padilha,2014,Blu-Ray,117,3/4
Rock of Ages,Comedy,PG-13,Julianne Hough,Adam Shankman,2012,Blu-Ray,123,3/4
Rock the Kasbah,Comedy,R,Bill Murray,Barry Levinson,2015,Blu-Ray,107,3/4
Scouts Guide to the Zombie Apocalypse,Comedy,R,Tye Sheridan,Christopher Landon,2015,Blu-Ray,92,3/4
The Secret Life of Walter Mitty,Adventure,PG,Ben Stiller,Ben Stiller,2013,Blu-Ray,114,3/4
Self/less,Action,PG-13,Ryan Reynolds,Tarsen Singh,2015,Blu-Ray,117,3/4
Serenity,Sci-Fi,PG-13,Nathan Fillion,Joss Whedon,2005,Blu-Ray,119,3/4
She's Funny That Way,Comedy,R,Owen Wilson,Pete Bogdanovich,2014,Blu-Ray,99,3/4
Sisters,Comedy,R,Tina Fey,Jason Moore,2015,Blu-Ray,123,3/4
Skiing Everest,Documentary,NR-G,Steve Marolt,Les Guthman,2009,Blu-Ray,60,3/4
Son of God,Drama,PG-13,Diogo Morgado,Christopher Spencer,2014,Blu-Ray,138,3/4
Southpaw,Drama,R,Jake Gyllenhaal,Antoine Fuqua,2015,Blu-Ray,124,3/4
The Spongebob Movie: Sponge Out of Water 3D,Animated,PG,Antonio Banderas,Paul Tibbitt,2015,Blu-Ray,92,3/4
St. Vincent,Comedy,PG-13,Bill Murray,Theodore Melfi,2014,Blu-Ray,109,3/4
Star Wars Episode I: Phantom Menace,Action,PG,Ewan McGregor,George Lucas,1999,Blu-Ray,136,3/4
Star Wars Episode II: Attack of the Clones,Action,PG,Hayden Christenson,George Lucas,2002,Blu-Ray,142,3/4
Star Wars Episode III: Revenge of the Sith,Action,PG-13,Hayden Christenson,George Lucas,2005,Blu-Ray,140,3/4
Star Wars Episode IV: A New Hope,Action,PG,Harrison Ford,George Lucas,1977,Blu-Ray,121,3/4
Star Wars Episode V: Empir Strikes Back,Action,PG,Harrison Ford,Irvin Keshner,1980,Blu-Ray,124,3/4
Star Wars Episode VI: Return of the Jedi,Action,PG,Harrison Ford,Richard Marquand,1983,Blu-Ray,134,3/4
Stargate,Action,PG-13,Kurt Russell,Roland Emmerich,1994,Blu-Ray,121,3/4
Steve Jobs,Drama,R,Michael Fassbender,Danny Boyle,2015,Blu-Ray,123,3/4
Straight Outta Compton,Drama,R,O'Shea Jackson Jr.,F. Gary Gray,2015,Blu-Ray,147,3/4
Tangled,Animation,PG,Mandy Moore,Nathan Gemo,2010,Blu-Ray,100,3/4
That Akward Moment,Comedy,R,Zac Efron,Tom Gormican,2014,Blu-Ray,94,3/4
Teenage Mutant Ninja Turtles,Action,PG-13,Megan Fox,Jonathan Liebesman,2014,Blu-Ray,101,3/4
Terminator Genisys,Action,PG-13,Arnold Schwarzenegger,Alan Taylor,2015,Blu-Ray,121,3/4
The Theory of Everything,Drama,PG-13,Eddie Redmayne,James Marsh,2014,Blu-Ray,124,3/4
Thor,Action,PG-13,Chris Hemsworth,Kenneth Branagh,2011,Blu-Ray,115,3/4
Thor: The Dark World,Action,PG-13,Chris Hemsworth,Alan Taylor,2013,Blu-Ray,112,3/4
Tomorrowland,Sci-Fi,PG,George Clooney,Brad Bird,2015,Blu-Ray,120,3/4
Toy Story,Animation,G,Tom Hanks,John Lasseter,1995,Blu-Ray,81,3/4
Toy Story 2,Animation,G,Tom Hanks,John Lasseter,1999,Blu-Ray,92,3/4
Toy Story 3,Animation,G,Tom Hanks,Lee Unkrich,2010,Blu-Ray,103,3/4
Toy Story: That Time Forgot,Animation,G,Tom Hanks,Steve Purcell,2014,Blu-Ray,22,3/4
Transcendence,Drama,PG-13,Johnny Depp,Wally Pfisher,2014,Blu-Ray,119,3/4
Transformers: Age of Extinction,Action,PG-13,Mark Wahlberg,Michael Bay,2014,Blu-Ray,164,3/4
Transformers: Dark of the Moon,Action,PG-13,Shia LaBeouf,Michael Bay,2011,Blu-Ray,154,3/4
Tron: Legacy,Action,PG,Jeff Bridges,Joseph Kosinski,2010,Blu-Ray,125,3/4
Trouble with the Curve,Drama,PG-13,Clint Eastwood,Robert Lorenz,2012,Blu-Ray,111,3/4
Turbo,Animation,PG,Ryan Reynolds,David Soren,2013,Blu-Ray,96,3/4
Unbroken,Drama,PG-13,Jack O'Connell,Angelina Jolie,2014,Blu-Ray,138,3/4
Underworld,Action,R,Kate Beckinsale,Len Wiseman,2003,Blu-Ray,121,3/4
Unfriended,Horror,R,Shelley Hennig,Levan Gabriadze,2014,Blu-Ray,83,3/4
Up,Animation,PG,Edward Asner,Pete Docter,2009,Blu-Ray,96,3/4
Vacation,Comedy,R,Ed Helms,Jonathan M. Goldstein,2015,Blu-Ray,99,3/4
Valhalla,Action,NR,Pep Fujas,Ben Sturgulewski,2013,Blu-Ray,64,3/4
The Voices,Comedy/Horror,R,Ryan Reynolds,Marjane Satrapi,2015,Blu-Ray,103,3/4
Walk of Shame,Comedy,R,Elizabeth Banks,Steven Brill,2014,Blu-Ray,95,3/4
Walt Disney Animation Studios Short Films Collectio,Animated,NR-G,Kristen Bell,Chris Buck,2000,Blu-Ray,79,3/4
Wanderlust,Comedy,R,Jennifer Aniston,David Wain,2012,Blu-Ray,98,3/4
White House Down,Action,PG-13,Channing Tatum,Roland Emmerich,2013,Blu-Ray,131,3/4
Wild Horses,Crime,R,Robert Duvall,Robert Duvall,2015,Blu-Ray,100,3/4
World War Z,Action/Drama,PG-13,Brad Pitt,Marc Foster,2013,Blu-Ray,116,3/4
